Crop_Type,Rainfall_mm,Temperature_C,Humidity_pct,Nitrogen,Phosphorus,Potassium,pH,Area_ha,Season,Irrigation_Type,Yield_ton_per_ha
Cotton,838.2,32.9,57.0,133.0,33.1,5.1,5.59,4.75,Kharif,Flood,2.32
Wheat,521.2,13.7,41.3,99.0,90.8,92.9,5.01,2.96,Zaid,Flood,4.84
Rice,1181.9,27.0,86.8,93.8,32.4,36.4,8.06,0.77,Zaid,Rainfed,4.24
Cotton,574.1,30.5,42.3,116.0,90.0,91.5,8.1,11.29,Zaid,Rainfed,2.96
Cotton,612.9,34.9,,72.4,18.1,13.5,7.82,19.55,Zaid,Rainfed,1.27
Rice,879.0,22.9,86.7,70.3,35.4,55.0,5.77,10.04,Rabi,Flood,3.58
Wheat,364.2,20.2,57.4,100.1,71.6,84.1,7.99,10.25,Rabi,Sprinkler,4.55
Rice,1024.0,28.2,60.8,47.0,47.1,69.8,7.9,4.33,Rabi,Drip,4.3
Soybean,693.6,25.9,52.2,17.4,15.0,66.5,6.68,5.06,Rabi,Drip,2.58
Cotton,520.8,33.2,52.5,99.6,29.0,37.3,6.95,18.01,Zaid,Flood,2.07
Sugarcane,1699.3,29.6,64.7,101.2,57.9,42.7,8.15,0.91,Kharif,Rainfed,80.8
Sugarcane,2053.2,31.5,68.3,97.8,42.6,84.4,6.32,8.54,Rabi,Rainfed,80.79
Maize,1178.5,25.0,61.3,18.1,37.2,58.1,5.15,13.33,Kharif,Sprinkler,3.89
Rice,1225.7,26.5,72.0,25.0,88.9,48.6,6.05,13.36,Rabi,Flood,4.94
Rice,1676.6,26.1,64.1,35.7,22.1,32.6,6.6,2.67,Zaid,Flood,3.24
Maize,613.8,21.6,70.3,15.0,63.9,78.3,5.36,1.32,Rabi,Rainfed,4.13
Maize,974.9,24.4,67.8,29.3,,97.3,6.73,17.46,Zaid,Flood,5.52
Maize,866.6,25.4,59.6,71.1,52.7,26.1,5.76,15.93,Rabi,Flood,5.46
Cotton,562.2,34.4,61.9,136.2,21.8,80.8,4.66,8.41,Kharif,Drip,2.49
Soybean,871.2,25.8,66.8,72.6,81.9,104.8,4.59,19.66,Kharif,Flood,2.86
Rice,1327.8,23.3,79.3,59.5,10.2,67.9,8.11,7.97,Kharif,Drip,4.53
Cotton,524.2,29.4,60.5,117.4,60.9,42.1,7.7,11.32,Zaid,Drip,2.13
Maize,673.2,18.2,76.0,31.4,44.4,6.5,6.41,0.91,Rabi,Flood,3.54
Rice,1745.3,30.2,68.5,118.8,56.6,44.2,7.0,0.74,Zaid,Sprinkler,5.35
Cotton,692.6,31.0,61.4,133.8,88.9,33.4,,9.75,Zaid,Rainfed,2.87
Soybean,699.0,20.3,63.0,139.3,24.2,32.1,4.95,18.39,Zaid,Drip,
Cotton,794.6,28.3,51.4,68.7,94.0,108.3,7.69,15.26,Rabi,Rainfed,3.1
Soybean,476.6,21.7,67.3,104.7,9.5,102.4,4.86,6.08,Zaid,Flood,2.91
Maize,957.1,23.0,67.4,12.9,98.9,9.3,8.37,11.22,Zaid,Drip,4.09
Soybean,526.3,24.9,51.3,90.3,24.7,66.7,4.95,6.97,Zaid,Rainfed,2.28
Rice,1991.0,29.8,67.2,123.7,83.9,28.6,6.1,8.49,Zaid,Drip,4.84
Maize,1059.4,20.2,,105.0,44.9,65.7,7.83,16.18,Kharif,Drip,6.07
Rice,1299.0,23.4,76.5,62.4,54.4,109.6,5.04,13.67,Kharif,Drip,5.62
Sugarcane,2095.3,20.2,74.3,66.4,17.1,48.0,5.92,6.41,Zaid,Sprinkler,63.06
Wheat,474.9,24.2,47.3,95.3,23.9,38.1,5.4,1.85,Zaid,Flood,3.91
Soybean,662.9,22.5,51.1,,36.4,83.2,6.15,,Kharif,Rainfed,2.98
Wheat,330.5,,60.8,33.8,35.3,48.6,8.13,5.23,Rabi,Rainfed,2.19
Wheat,,16.1,43.9,84.6,10.8,8.2,7.36,7.55,Kharif,Sprinkler,3.07
Soybean,837.7,20.2,64.4,125.8,61.7,90.1,6.22,15.12,Zaid,Rainfed,3.65
Maize,626.5,24.9,58.1,35.8,28.5,37.2,6.72,11.97,Rabi,Drip,4.75
Sugarcane,1257.7,21.3,,37.8,31.9,47.0,7.75,0.77,Zaid,Flood,45.21
Rice,1758.4,28.7,88.0,12.6,19.6,98.0,6.33,11.51,Rabi,Sprinkler,4.75
Cotton,860.1,35.0,47.2,124.4,9.7,29.3,8.09,5.5,Zaid,Rainfed,1.72
Rice,1830.9,23.4,75.0,97.7,27.7,84.6,7.54,6.6,Zaid,Sprinkler,4.8
Cotton,651.7,34.3,59.5,109.6,70.7,106.4,6.07,3.05,Rabi,Rainfed,3.07
Rice,1490.1,29.3,66.2,75.6,34.7,49.9,7.08,15.03,Zaid,Drip,4.96
Soybean,802.5,22.0,72.7,58.1,76.4,99.2,7.88,4.06,Rabi,Flood,2.93
Sugarcane,1508.9,25.7,61.6,73.2,15.4,31.1,5.77,16.27,Rabi,Rainfed,61.82
Cotton,882.3,33.6,,99.7,94.8,76.7,5.83,10.26,Zaid,Drip,3.18
Maize,714.2,20.9,51.9,33.0,5.5,51.8,4.84,13.81,Zaid,Drip,4.01
Rice,1983.9,30.0,77.9,20.7,66.4,70.6,7.05,6.49,Zaid,Sprinkler,3.78
Rice,1061.3,31.6,62.6,35.3,83.0,76.0,7.04,8.33,Kharif,Rainfed,4.42
Cotton,990.6,32.9,63.3,131.4,43.2,54.2,7.32,18.48,Zaid,Rainfed,1.97
Maize,597.5,21.7,68.4,49.8,36.0,12.4,5.9,17.32,Zaid,Flood,4.45
Maize,592.6,28.4,79.3,85.7,99.6,100.7,5.39,1.6,Zaid,Flood,7.5
Soybean,527.2,25.3,54.2,70.1,8.2,17.8,6.16,1.73,Zaid,Drip,2.02
Soybean,,28.7,61.7,63.4,82.7,99.0,7.91,13.63,Zaid,Rainfed,2.7
Soybean,470.7,22.8,73.3,95.9,75.9,37.7,7.88,5.56,Zaid,Rainfed,2.41
Soybean,497.4,28.6,63.8,76.7,31.7,91.3,7.51,14.79,Kharif,Drip,3.75
Soybean,554.3,27.2,67.6,50.0,28.0,12.7,7.48,14.36,Rabi,Rainfed,1.9
Soybean,554.7,21.1,68.8,45.7,64.3,13.5,6.31,14.91,Zaid,Sprinkler,2.73
Sugarcane,2316.2,32.2,79.3,97.3,8.0,61.2,4.65,16.26,Rabi,Drip,43.89
Maize,1120.6,27.4,62.0,122.2,30.4,61.1,7.94,6.85,Rabi,Sprinkler,5.75
Soybean,458.2,21.2,72.6,18.9,99.2,104.9,5.05,10.98,Zaid,Sprinkler,2.75
Maize,754.3,20.7,63.2,137.1,81.7,82.4,6.65,16.88,Rabi,Flood,9.07
Maize,,26.5,59.4,97.6,85.2,101.2,7.37,6.03,Kharif,Flood,7.84
Wheat,520.0,13.8,54.5,37.6,16.0,92.8,6.51,0.78,Zaid,Sprinkler,4.3
Sugarcane,1908.9,34.7,72.6,124.2,95.5,84.2,6.28,12.05,Rabi,Drip,119.8
Soybean,744.6,28.3,60.3,96.2,16.2,47.2,7.67,4.8,Kharif,Sprinkler,2.43
Rice,1051.9,31.5,67.8,136.1,74.8,78.5,7.91,2.76,Kharif,Rainfed,5.54
Cotton,810.1,30.1,51.9,72.2,78.0,71.0,7.03,9.28,Kharif,Sprinkler,3.19
Rice,1791.1,29.5,80.9,130.1,82.9,64.0,7.19,18.56,Rabi,Sprinkler,6.71
Sugarcane,1362.8,28.3,70.6,135.8,67.5,64.3,8.23,11.94,Zaid,Drip,92.45
Cotton,602.0,33.2,51.7,114.1,22.1,16.5,8.03,7.19,Zaid,Flood,1.77
Sugarcane,1361.2,29.1,69.7,20.5,19.0,36.3,4.86,18.26,Rabi,Flood,39.75
Maize,586.3,23.8,,130.4,20.4,106.4,5.32,14.96,Kharif,Drip,7.33
Cotton,597.7,30.3,44.2,129.1,36.1,44.1,7.54,7.11,Rabi,Sprinkler,2.89
Maize,918.2,26.9,76.4,16.4,29.4,53.8,5.41,15.01,Rabi,Rainfed,3.51
Rice,1795.3,28.2,65.7,129.2,57.6,36.4,6.22,6.59,Zaid,Sprinkler,6.51
Rice,1799.5,,89.6,112.9,62.1,40.6,6.68,1.3,Rabi,Drip,5.8
Cotton,693.7,25.6,54.6,70.3,63.8,55.4,7.15,4.77,Rabi,Drip,2.67
Cotton,742.3,31.0,40.7,59.5,15.1,60.8,6.08,12.46,Rabi,Rainfed,2.16
Soybean,563.5,27.1,61.2,26.0,24.6,5.1,4.66,19.56,Zaid,Rainfed,1.42
Sugarcane,2258.6,29.9,73.8,29.9,74.2,68.0,7.43,15.51,Rabi,Flood,64.45
Soybean,673.8,25.2,54.5,24.1,85.0,69.5,5.8,4.24,Zaid,Drip,3.55
Sugarcane,2277.1,23.1,62.1,56.3,69.6,33.8,7.81,14.93,Kharif,Rainfed,49.21
Soybean,826.4,27.5,67.6,130.7,75.2,37.2,5.56,14.08,Rabi,Flood,2.92
Maize,872.6,19.1,74.6,23.2,80.2,90.2,6.43,1.62,Rabi,Rainfed,6.89
Cotton,791.3,34.0,43.1,25.8,73.5,24.3,5.81,10.0,Kharif,Sprinkler,2.24
Rice,1289.5,24.5,68.4,27.7,74.2,90.4,5.53,15.6,Rabi,Flood,5.89
Sugarcane,2207.7,31.2,63.4,19.1,89.9,45.7,5.65,14.63,Rabi,Drip,64.75
Sugarcane,1474.0,32.9,81.3,15.3,9.7,70.5,4.75,6.83,Kharif,Flood,40.81
Rice,1370.5,26.6,83.5,107.5,48.4,93.8,4.96,5.48,Kharif,Flood,5.83
Soybean,891.5,23.8,61.7,113.0,43.2,49.6,6.03,14.52,Zaid,Flood,3.23
Sugarcane,2291.2,29.3,68.7,95.0,38.3,69.8,8.04,5.01,Zaid,Flood,57.09
Maize,1108.0,29.9,66.9,77.2,32.0,59.3,7.89,13.86,Rabi,Sprinkler,4.36
Cotton,547.8,26.7,50.5,24.7,21.3,62.5,5.16,1.75,Zaid,Rainfed,1.32
Rice,1418.4,24.2,63.1,107.7,91.1,83.1,6.63,17.28,Rabi,Sprinkler,9.03
Cotton,563.1,30.8,54.5,109.6,43.6,97.4,7.09,18.04,Kharif,Rainfed,2.82
Sugarcane,1464.5,22.0,65.0,128.1,77.2,76.0,5.7,4.09,Kharif,Drip,89.34
Sugarcane,1060.5,29.2,68.2,70.9,19.1,108.4,5.34,3.04,Rabi,Rainfed,52.89
Rice,1806.3,31.9,84.3,51.3,5.8,45.1,5.71,1.23,Kharif,Flood,3.6
Maize,584.5,25.5,79.3,34.3,47.3,56.3,7.75,2.43,Rabi,Flood,3.98
Wheat,407.6,20.2,58.8,130.1,99.8,8.4,5.44,6.55,Kharif,Sprinkler,4.68
Rice,1902.2,31.5,61.4,54.0,43.5,30.1,7.02,12.99,Kharif,Drip,3.59
Wheat,571.3,21.6,59.6,45.6,61.3,56.4,5.03,5.23,Rabi,Flood,3.54
Soybean,525.6,24.7,58.9,62.0,10.5,66.2,8.04,3.46,Kharif,Drip,2.41
Wheat,,20.6,61.0,63.4,52.9,5.8,7.27,13.4,Zaid,Sprinkler,3.74
Maize,851.4,23.0,77.3,103.2,60.3,88.8,7.96,9.41,Rabi,Flood,7.11
Soybean,790.6,24.8,67.2,122.3,,49.8,4.94,1.09,Zaid,Flood,3.67
Wheat,327.3,19.2,69.2,76.6,32.6,54.3,7.93,6.45,Rabi,Drip,3.54
Soybean,584.0,21.3,69.5,71.3,26.6,22.4,5.83,18.83,Kharif,Sprinkler,2.51
Wheat,745.6,14.3,53.8,102.3,98.5,10.3,4.89,14.55,Zaid,Drip,4.02
Maize,527.6,20.2,50.7,110.7,17.8,54.1,6.92,8.85,Zaid,Sprinkler,5.95
Wheat,567.8,17.6,54.3,60.6,89.3,98.9,5.84,12.49,Zaid,Flood,
Wheat,554.5,24.5,53.6,46.2,96.1,20.0,6.82,6.01,Kharif,Sprinkler,4.37
Wheat,377.3,13.1,53.2,76.4,29.6,38.2,4.85,6.41,Zaid,Flood,2.69
Rice,1201.9,31.4,77.1,128.2,5.6,90.1,8.29,2.28,Zaid,Drip,
Rice,1109.2,22.1,73.5,100.1,74.7,109.5,5.65,11.0,Kharif,Sprinkler,6.72
Rice,1003.0,26.1,89.3,120.9,52.3,68.3,5.41,11.1,Rabi,Rainfed,5.03
Maize,759.7,25.3,73.2,32.2,41.5,41.4,6.23,15.74,Kharif,Sprinkler,5.5
Soybean,603.9,25.8,70.2,41.0,26.3,58.0,5.54,0.68,Rabi,Sprinkler,2.01
Sugarcane,1856.8,34.5,81.6,28.1,59.1,96.1,6.83,14.5,Zaid,Flood,86.0
Wheat,529.0,13.2,51.8,122.7,28.2,106.5,8.33,5.33,Rabi,Flood,4.07
Wheat,380.3,23.6,45.2,44.7,16.4,29.2,4.93,16.52,Kharif,Rainfed,2.28
Maize,533.5,27.0,78.5,102.5,5.6,85.2,6.56,15.7,Zaid,Drip,7.28
Wheat,301.4,17.3,65.5,59.5,52.1,5.8,6.47,19.74,Zaid,Drip,4.0
Rice,1624.6,26.0,84.4,64.3,34.4,103.5,7.21,2.82,Kharif,Flood,4.95
Sugarcane,2316.5,23.8,62.2,103.0,30.8,84.8,7.39,0.64,Kharif,Sprinkler,71.07
Cotton,933.1,26.4,61.8,64.4,47.2,36.8,7.37,7.49,Kharif,Flood,2.0
Wheat,622.2,12.2,45.5,40.2,65.4,109.3,7.61,4.9,Zaid,Sprinkler,4.19
Rice,1164.9,29.7,84.3,48.2,47.4,81.3,7.27,19.75,Kharif,Rainfed,4.93
Cotton,578.2,34.2,58.8,83.9,31.1,54.8,5.84,11.8,Zaid,Rainfed,2.27
Sugarcane,1947.6,28.5,73.0,,27.1,56.7,5.74,4.04,Kharif,Drip,63.86
Cotton,963.9,26.3,61.7,102.0,15.1,86.5,7.73,15.47,Kharif,Sprinkler,1.99
Rice,1801.2,28.4,77.3,94.0,48.5,60.5,4.64,12.96,Kharif,Rainfed,3.22
Soybean,510.0,25.5,67.3,113.4,20.5,16.0,5.08,17.6,Rabi,Rainfed,2.12
Soybean,498.0,24.7,66.2,122.8,83.7,70.7,4.8,2.69,Zaid,Drip,3.44
Cotton,692.5,27.6,63.6,89.3,84.3,79.6,4.95,14.85,Kharif,Drip,2.77
Maize,738.7,25.7,79.9,44.3,31.5,102.7,4.6,14.09,Zaid,Rainfed,4.65
Cotton,564.2,,56.3,137.7,91.6,51.1,4.66,7.56,Rabi,Drip,2.99
Wheat,529.7,21.1,41.7,65.5,49.6,102.5,7.06,6.58,Rabi,Rainfed,4.54
Wheat,641.3,16.6,59.9,103.0,30.5,38.1,5.0,13.28,Kharif,Flood,2.99
Soybean,841.4,26.0,72.3,68.4,48.6,13.1,,16.51,Rabi,Drip,2.98
Maize,670.2,28.5,66.5,35.0,14.7,100.7,7.78,15.32,Rabi,Drip,4.77
Rice,1210.9,26.4,76.4,21.9,76.9,66.2,5.25,4.17,Rabi,Rainfed,4.32
Wheat,308.7,22.9,41.5,84.5,82.9,39.3,5.9,12.13,Kharif,Drip,4.28
Soybean,567.2,24.4,71.0,103.0,70.3,98.8,7.26,6.03,Rabi,Drip,4.76
Sugarcane,1116.1,29.3,72.8,54.6,36.2,68.2,5.79,15.65,Rabi,Drip,58.14
Soybean,814.1,26.6,,74.6,95.3,36.5,4.58,8.92,Kharif,Flood,2.75
Wheat,610.6,14.8,41.4,72.9,6.4,101.7,8.4,4.83,Zaid,Rainfed,3.28
Wheat,747.5,15.3,57.2,55.6,84.1,56.8,8.15,18.6,Kharif,Drip,3.75
Soybean,845.4,22.6,54.9,133.1,24.5,69.4,5.39,11.14,Kharif,Flood,3.47
Rice,1425.1,23.9,74.1,19.2,82.7,40.2,6.8,10.54,Zaid,Rainfed,4.73
Cotton,866.8,29.5,61.0,80.8,13.2,29.9,5.16,2.93,Rabi,Drip,1.82
Wheat,409.2,15.0,41.6,12.3,14.8,23.1,6.22,10.46,Zaid,Rainfed,1.93
Soybean,453.1,21.8,61.7,99.1,26.5,18.8,8.05,5.86,Kharif,Sprinkler,2.06
Soybean,817.7,28.6,61.2,73.6,25.7,13.2,6.79,2.42,Rabi,Sprinkler,2.54
Maize,677.0,26.8,52.0,44.8,,71.5,7.38,5.51,Rabi,Rainfed,5.58
Cotton,649.8,31.8,51.4,22.4,90.3,103.2,8.42,17.44,Rabi,Flood,2.21
Sugarcane,1266.0,33.7,60.2,114.7,12.3,48.4,7.22,5.12,Rabi,Flood,58.55
Rice,1986.2,28.3,70.3,18.0,74.8,59.8,5.35,15.74,Rabi,Rainfed,3.11
Sugarcane,1628.4,26.0,72.9,102.2,91.1,19.5,4.72,0.86,Rabi,Rainfed,70.11
Cotton,863.7,31.6,59.7,41.7,34.1,55.7,4.75,12.42,Zaid,Sprinkler,1.97
Cotton,680.8,25.7,53.4,139.5,50.1,90.7,6.23,16.03,Rabi,Rainfed,2.77
Cotton,705.5,33.9,55.1,91.9,44.7,20.2,4.87,0.83,Rabi,Rainfed,1.63
Sugarcane,1480.0,31.0,72.7,31.1,96.2,94.4,7.96,8.43,Zaid,Flood,71.12
Cotton,504.3,26.4,40.5,86.3,48.3,59.4,4.53,8.74,Kharif,Rainfed,1.88
Soybean,815.9,22.3,64.7,37.4,27.5,70.9,7.82,8.6,Rabi,Sprinkler,2.29
Sugarcane,2003.9,33.0,71.2,73.4,24.4,70.8,5.93,19.92,Rabi,Flood,87.75
Cotton,900.4,34.2,51.3,103.4,60.7,,5.27,9.55,Kharif,Drip,2.42
Soybean,600.9,29.1,73.8,79.3,65.0,62.0,5.02,7.83,Rabi,Rainfed,2.39
Maize,654.3,27.3,54.9,62.8,93.0,79.6,6.18,10.59,Zaid,Drip,8.98
Cotton,833.2,34.8,47.1,86.2,15.4,106.4,5.2,13.14,Zaid,Rainfed,2.26
Sugarcane,1921.7,30.1,82.3,20.2,,31.1,8.45,8.09,Zaid,Sprinkler,49.52
Wheat,722.8,22.4,59.1,15.4,24.6,102.1,5.96,2.52,Zaid,Drip,3.75
Cotton,825.1,34.8,58.6,14.1,16.6,71.5,8.1,12.66,Kharif,Rainfed,1.47
Wheat,722.1,13.5,44.2,77.6,8.5,13.5,7.19,13.94,Rabi,Flood,2.97
Soybean,693.9,22.2,74.2,29.2,94.4,24.2,6.77,7.85,Zaid,Rainfed,2.64
Maize,779.8,21.3,79.5,79.7,52.7,32.1,7.31,0.78,Rabi,Sprinkler,5.19
Rice,1883.8,31.5,,116.4,68.4,18.2,7.56,4.6,Kharif,Rainfed,4.2
Maize,875.6,27.8,,37.7,62.7,13.8,7.07,15.37,Rabi,Drip,5.39
Cotton,603.3,34.3,58.4,122.6,54.5,75.3,7.76,5.58,Kharif,Rainfed,2.18
Wheat,781.5,12.0,67.5,109.4,12.5,52.0,4.91,0.81,Rabi,Rainfed,2.64
Wheat,460.0,15.6,62.9,114.3,41.6,48.9,4.68,6.14,Zaid,Flood,3.8
Sugarcane,1679.9,21.8,81.3,85.6,12.5,25.1,6.4,7.55,Rabi,Drip,92.65
Wheat,470.5,22.4,64.2,54.0,10.3,63.2,6.85,18.72,Rabi,Rainfed,3.57
Sugarcane,2362.5,33.8,75.1,78.6,58.0,107.7,7.59,2.57,Rabi,Rainfed,50.5
Soybean,,20.4,63.6,81.7,38.9,52.0,8.36,7.86,Kharif,Flood,2.22
Rice,1349.3,24.4,82.8,36.8,72.4,7.2,6.18,15.63,Kharif,Sprinkler,4.37
Cotton,526.1,32.4,61.3,35.8,88.1,42.0,7.39,6.72,Zaid,Rainfed,1.97
Sugarcane,1267.8,21.9,72.3,20.7,23.6,104.1,8.41,7.84,Rabi,Drip,52.42
Rice,1987.0,28.6,68.0,97.4,9.9,16.9,4.52,19.99,Zaid,Rainfed,2.22
Wheat,554.9,22.2,49.0,29.7,32.0,44.5,7.53,11.02,Rabi,Flood,3.26
Wheat,700.9,20.3,54.0,57.0,15.3,97.0,7.63,3.78,Rabi,Drip,4.0
Rice,1550.1,26.9,88.4,85.4,56.3,10.3,4.75,4.15,Zaid,Rainfed,4.1
Wheat,718.0,13.8,44.6,49.2,28.7,44.1,5.52,10.03,Kharif,Rainfed,2.96
Soybean,,29.9,53.6,,64.5,10.7,7.85,10.48,Rabi,Drip,1.67
Soybean,593.5,22.0,64.8,37.3,16.1,106.9,4.59,16.15,Rabi,Drip,2.48
Rice,962.8,25.0,64.4,100.7,66.1,87.2,8.25,13.99,Rabi,Flood,4.89
Sugarcane,1108.8,23.1,77.6,62.3,92.4,73.3,4.86,18.98,Zaid,Drip,59.2
Sugarcane,2183.4,24.7,77.0,125.5,70.8,30.6,8.23,2.54,Rabi,Drip,87.39
Rice,1736.7,22.2,70.8,62.8,81.9,44.8,4.69,3.94,Rabi,Flood,4.06
Sugarcane,1532.4,21.1,72.6,74.1,5.4,57.6,6.04,19.46,Zaid,Flood,59.72
Sugarcane,1998.7,25.9,65.4,38.7,74.3,57.5,6.16,3.8,Kharif,Drip,75.32
Soybean,491.1,20.1,63.9,125.9,32.3,39.4,4.96,8.08,Zaid,Sprinkler,2.68
Sugarcane,2324.2,34.9,71.8,77.6,23.1,53.5,8.11,1.49,Rabi,Sprinkler,48.62
Maize,1129.7,22.1,78.2,97.2,68.1,52.5,7.84,19.25,Kharif,Drip,6.52
Cotton,913.4,26.9,54.1,109.1,72.8,26.8,6.78,17.42,Rabi,Flood,2.63
Wheat,526.1,24.6,44.3,60.6,95.4,38.6,7.97,17.68,Rabi,Sprinkler,3.62
Maize,992.2,18.2,50.7,92.1,20.5,64.4,6.52,0.76,Rabi,Flood,6.79
Sugarcane,2272.9,29.0,82.2,72.9,74.2,38.2,5.87,4.29,Kharif,Rainfed,60.89
Soybean,768.5,26.9,59.0,20.0,45.5,51.4,7.17,6.65,Zaid,Flood,2.39
Rice,1085.0,30.7,89.4,60.2,30.4,49.3,4.88,2.95,Kharif,Flood,3.55
Sugarcane,1157.8,30.0,76.8,92.6,81.5,91.7,7.97,8.58,Kharif,Drip,77.41
Soybean,453.3,27.1,63.0,14.9,59.1,101.7,8.37,11.04,Kharif,Drip,2.47
Cotton,732.9,25.6,46.0,71.1,48.3,66.1,5.93,3.7,Zaid,Rainfed,2.4
Sugarcane,1996.0,32.5,68.5,131.6,91.7,27.0,4.66,14.96,Zaid,Rainfed,72.07
Rice,1096.0,22.3,73.8,91.7,57.9,83.0,5.62,11.52,Rabi,Flood,6.3
Soybean,787.6,24.1,67.3,138.8,31.4,57.3,5.82,9.09,Rabi,Rainfed,3.52
Soybean,843.0,22.0,51.5,125.5,36.3,38.0,6.55,18.84,Rabi,Sprinkler,3.69
Soybean,835.5,23.5,59.9,35.9,45.4,45.5,8.16,15.36,Rabi,Drip,2.4
Cotton,865.1,,49.7,112.0,51.8,24.0,7.44,5.42,Kharif,Flood,1.97
Sugarcane,1926.8,21.1,76.6,59.2,95.7,96.8,7.33,14.42,Zaid,Flood,91.2
Cotton,984.4,30.4,52.1,18.3,57.4,93.3,8.49,8.89,Rabi,Sprinkler,1.8
Wheat,395.6,23.8,58.5,62.7,8.9,41.5,5.56,13.88,Kharif,Sprinkler,
Wheat,569.1,12.7,42.1,,77.8,74.1,7.8,13.13,Zaid,Rainfed,4.36
Sugarcane,2387.0,30.7,72.9,25.2,55.2,18.3,6.87,9.91,Zaid,Flood,48.49
Cotton,712.2,28.8,57.9,88.5,33.4,48.1,5.37,19.34,Kharif,Flood,2.31
Rice,831.0,25.7,66.7,111.5,24.1,13.4,6.4,0.69,Zaid,Sprinkler,4.53
Soybean,607.0,22.8,73.1,36.9,88.0,8.2,4.86,17.17,Rabi,Rainfed,1.75
Soybean,,27.5,63.4,105.8,64.6,54.5,8.34,13.69,Kharif,Rainfed,2.74
Sugarcane,1539.2,21.2,81.5,40.2,16.0,39.2,5.38,18.54,Zaid,Drip,56.83
Wheat,330.7,18.5,61.4,91.0,97.2,63.7,5.85,10.62,Kharif,Rainfed,5.22
Wheat,671.8,15.1,62.5,51.2,51.0,35.9,5.53,1.0,Zaid,Sprinkler,3.9
Soybean,450.7,25.5,57.1,124.6,61.4,68.8,6.11,13.69,Rabi,Flood,3.98
Sugarcane,2121.3,25.1,73.7,68.8,,71.9,8.4,16.6,Kharif,Flood,51.17
Cotton,751.5,34.3,56.6,128.6,88.0,57.7,6.25,7.12,Kharif,Rainfed,2.94
Wheat,388.6,16.6,60.9,90.1,50.9,46.0,8.14,1.07,Kharif,Sprinkler,3.51
Cotton,766.7,30.8,54.9,57.6,81.7,59.9,4.97,3.02,Rabi,Flood,2.36
Wheat,682.0,23.3,47.4,14.7,14.7,81.5,5.3,7.74,Rabi,Flood,2.89
Wheat,356.6,21.4,52.2,73.1,56.4,90.9,5.19,16.25,Zaid,Flood,4.66
Maize,596.9,22.9,70.0,78.2,65.7,40.5,8.13,11.95,Kharif,Drip,5.53
Wheat,678.2,17.8,63.8,74.3,90.0,33.1,6.14,18.02,Rabi,Drip,5.59
Rice,1838.0,22.9,69.6,33.2,27.7,48.9,5.5,6.75,Rabi,Rainfed,3.0
Sugarcane,1858.4,24.4,71.0,55.1,75.9,98.8,7.53,6.97,Rabi,Flood,100.0
Sugarcane,1094.9,23.7,63.3,121.6,65.2,31.6,6.72,10.79,Rabi,Rainfed,62.59
Cotton,932.2,27.3,47.7,100.2,6.5,44.1,5.91,,Rabi,Sprinkler,2.16
Wheat,441.9,15.7,54.5,103.5,39.1,69.1,6.03,6.44,Zaid,Sprinkler,5.59
Rice,1163.3,25.8,73.8,116.3,93.3,62.2,7.15,18.11,Kharif,Rainfed,5.57
Cotton,506.3,26.3,43.8,101.7,28.1,54.2,6.87,17.79,Zaid,Sprinkler,2.39
Maize,,26.9,67.3,112.3,6.6,62.7,7.93,9.74,Rabi,Sprinkler,4.82
Cotton,781.6,26.6,63.6,10.5,27.6,103.5,5.18,2.71,Zaid,Rainfed,1.85
Cotton,868.7,33.5,62.1,66.4,76.0,110.0,7.4,2.73,Kharif,Sprinkler,3.25
Wheat,799.6,19.4,48.6,46.5,20.2,22.2,5.64,15.96,Kharif,Drip,2.91
Maize,662.6,29.7,76.4,52.7,15.7,96.4,7.04,3.71,Zaid,Flood,5.59
Cotton,713.1,26.4,53.8,87.9,,47.0,7.61,18.85,Rabi,Flood,1.87
Rice,1292.4,27.6,70.0,26.2,15.1,77.3,5.54,5.47,Zaid,Flood,4.17
Rice,1495.8,23.0,78.8,57.5,55.9,87.8,7.77,19.18,Kharif,Rainfed,4.59
Sugarcane,2161.0,24.7,61.3,11.7,80.6,55.1,5.02,5.09,Rabi,Drip,61.11
Maize,864.2,23.8,79.3,135.6,25.5,90.2,5.29,4.66,Kharif,Rainfed,7.32
Maize,1097.1,21.5,61.6,52.0,93.8,43.1,6.06,2.57,Zaid,Rainfed,5.82
Sugarcane,2078.8,28.9,78.6,76.9,36.4,92.9,5.74,10.4,Rabi,Drip,77.12
Cotton,716.0,33.6,49.7,99.7,62.2,16.3,6.53,14.84,Kharif,Flood,2.4
Maize,1111.0,20.7,74.4,40.4,24.1,80.1,5.76,6.47,Kharif,Flood,5.32
Rice,1313.0,24.6,82.0,53.7,36.2,34.9,6.41,,Rabi,Flood,5.41
Rice,1924.0,22.0,63.2,119.5,50.9,74.2,6.54,9.8,Zaid,Drip,5.91
Wheat,748.1,18.4,64.2,10.5,35.4,49.3,5.42,4.39,Zaid,Sprinkler,3.14
Maize,838.1,28.2,62.5,137.1,24.1,27.6,5.67,3.87,Zaid,Flood,5.85
Cotton,706.0,31.2,63.4,16.3,25.0,64.4,6.96,1.27,Kharif,Flood,2.22
Sugarcane,1480.8,29.6,62.3,65.5,17.2,104.5,6.4,6.69,Kharif,Drip,102.56
Sugarcane,1465.1,27.5,80.3,122.7,68.9,9.9,6.77,15.38,Rabi,Drip,103.34
